fecha,local,visitante,goles_local,goles_visitante,tiros_local,tiros_visitante,tiros_puerta_local,tiros_puerta_visitante,amarillas_local,amarillas_visitante,temporada
12/09/2020,Eibar,Celta,0,0,8,6,1,3,4,4,2020-2021
12/09/2020,Granada,Ath Bilbao,2,0,4,9,2,2,3,4,2020-2021
12/09/2020,Cadiz,Osasuna,0,2,12,6,3,4,2,2,2020-2021
13/09/2020,Alaves,Betis,0,1,7,11,2,4,3,3,2020-2021
13/09/2020,Valladolid,Sociedad,1,1,8,8,3,2,4,1,2020-2021
13/09/2020,Villarreal,Huesca,1,1,15,10,4,3,1,1,2020-2021
13/09/2020,Valencia,Levante,4,2,14,19,8,8,1,3,2020-2021
19/09/2020,Villarreal,Eibar,2,1,14,12,8,4,1,1,2020-2021
19/09/2020,Getafe,Osasuna,1,0,7,10,1,3,4,2,2020-2021
19/09/2020,Celta,Valencia,2,1,23,9,6,3,3,1,2020-2021
20/09/2020,Huesca,Cadiz,0,2,4,6,0,4,3,3,2020-2021
20/09/2020,Betis,Valladolid,2,0,16,9,6,2,3,0,2020-2021
20/09/2020,Granada,Alaves,2,1,10,5,3,3,0,3,2020-2021
20/09/2020,Sociedad,Real Madrid,0,0,6,16,1,4,2,2,2020-2021
26/09/2020,Alaves,Getafe,0,0,9,11,0,4,2,2,2020-2021
26/09/2020,Valencia,Huesca,1,1,5,17,2,4,0,1,2020-2021
26/09/2020,Elche,Sociedad,0,3,5,27,2,7,3,1,2020-2021
26/09/2020,Betis,Real Madrid,2,3,15,11,5,4,5,2,2020-2021
27/09/2020,Osasuna,Levante,1,3,9,11,4,5,2,0,2020-2021
27/09/2020,Eibar,Ath Bilbao,1,2,7,9,1,5,1,0,2020-2021
27/09/2020,Ath Madrid,Granada,6,1,17,11,10,6,3,1,2020-2021
27/09/2020,Cadiz,Sevilla,1,3,12,14,5,5,4,2,2020-2021
27/09/2020,Valladolid,Celta,1,1,10,5,4,1,3,4,2020-2021
27/09/2020,Barcelona,Villarreal,4,0,17,5,9,1,0,1,2020-2021
29/09/2020,Sociedad,Valencia,0,1,11,9,3,5,1,5,2020-2021
29/09/2020,Getafe,Betis,3,0,8,10,4,2,4,4,2020-2021
30/09/2020,Huesca,Ath Madrid,0,0,9,16,3,2,1,0,2020-2021
30/09/2020,Villarreal,Alaves,3,1,10,8,6,3,0,2,2020-2021
30/09/2020,Eibar,Elche,0,1,12,5,4,2,2,2,2020-2021
30/09/2020,Real Madrid,Valladolid,1,0,15,11,5,5,2,1,2020-2021
01/10/2020,Ath Bilbao,Cadiz,0,1,13,3,4,1,3,5,2020-2021
01/10/2020,Sevilla,Levante,1,0,16,3,2,1,5,2,2020-2021
01/10/2020,Celta,Barcelona,0,3,10,6,3,3,5,5,2020-2021
03/10/2020,Valladolid,Eibar,1,2,9,11,3,5,2,3,2020-2021
03/10/2020,Ath Madrid,Villarreal,0,0,14,6,1,2,1,2,2020-2021
03/10/2020,Elche,Huesca,0,0,2,18,0,4,0,2,2020-2021
03/10/2020,Sociedad,Getafe,3,0,11,5,6,1,3,3,2020-2021
03/10/2020,Valencia,Betis,0,2,5,17,2,8,2,2,2020-2021
04/10/2020,Osasuna,Celta,2,0,14,9,5,3,3,3,2020-2021
